Eyes,Skin,Muscles,Disease,,Peoples Results
Puffy,Flaking,Knotty,A,,
Puffy,Sweaty,Twitchy,A,,
Puffy,Pallid,Limp,A,,
Sunken,Pallid,Twitchy,A,,
Bloodshot,Pallid,Strained,A,,
Puffy,Blotchy,Limp,A,,
Bloodshot,Pallid,Strained,B,,
Puffy,Blotchy,Limp,B,,
Watery,Blotchy,Strained,B,,
Bloodshot,Blotchy,Strained,B,,
Sunken,Flaking,Strained,B,,
Watery,Sweaty,Strained,B,,
Cloudy,Pallid,Twitchy,C,,
Cloudy,Flaking,Strained,C,,
Cloudy,Sweaty,Knotty,C,,
Cloudy,Pallid,Knotty,C,,
Cloudy,Flaking,Knotty,C,,
Bloodshot,Sweaty,Knotty,C,,
,,,,,
Test Data,,,,,
Eyes,Skin,Muscles,,Peoples Results,
Puffy,Blotchy,Twitchy,Puffy Blotchy Twitchy,category A,6.78
Cloudy,Sweaty,Strained,Cloudy Sweaty Strained,category A,-9.33
Sunken,Pallid,Knotty,Sunken Pallid Knotty,category A,-3.11
Bloodshot,Blotchy,Knotty,Bloodshot Blotchy Knotty,category A,-3.06
Bloodshot,Flaking,Strained,Bloodshot Flaking Strained,category A,-1.39
,,,,category B,-2
,,,,category B,-3.22
,,,,category B,-5.28
,,,,category B,-0.56
,,,,category B,7
,,,,category C,-9.06
,,,,category C,6.11
,,,,category C,-3.78
,,,,category C,0.22
,,,,category C,-7
,,,,categories A and B,1.17
,,,,categories A and B,-8.56
,,,,categories A and B,-3.72
,,,,categories A and B,-2.72
,,,,categories A and B,-3.33
,,,,categories A and C,-5.39
,,,,categories A and C,-4.06
,,,,categories A and C,-1.06
,,,,categories A and C,-5.06
,,,,categories A and C,-7.28
,,,,categories B and C,-7.83
,,,,categories B and C,4.33
,,,,categories B and C,-4.72
,,,,categories B and C,-1.67
,,,,categories B and C,-0.89
